Team,Pld,Won,Lost,Tied,N/R,Net RR,For,Against,Pts
Gujarat Lions GL,14,9,5,0,0,-0.374,"2,130/264.3","2,285/271.1",18
Royal Challengers Bangalore RCB,14,8,6,0,0,+0.932,"2,613/270.2","2,345/268.3",16
Sunrisers Hyderabad SRH,14,8,6,0,0,+0.245,"2,082/259.5","2,078/267.3",16
Kolkata Knight Riders KKR,14,8,6,0,0,+0.106,"2,123/253.2","2,121/256.2",16
Mumbai Indians MI,14,7,7,0,0,-0.146,"2,194/272.2","2,190/267",14
Delhi Capitals DC,14,7,7,0,0,-0.155,"2,040/259.1","2,107/262.3",14
Rising Pune Supergiant RPS,14,5,9,0,0,+0.015,"2,025/244.5","1,991/241.1",10
Kings XI Punjab KXIP,14,4,10,0,0,-0.646,"2,134/269.4","2,224/259.5",8
