Team,Pld,Won,Lost,Tied,N/R,Net RR,For,Against,Pts
Chennai Super Kings CSK,16,11,5,0,0,+0.530,"2,461/303.5","2,310/305.1",22
Mumbai Indians MI,16,11,5,0,0,+0.441,"2,514/318.1","2,350/315",22
Rajasthan Royals RR,16,10,6,0,0,+0.322,"2,405/310.5","2,326/313.4",20
Sunrisers Hyderabad SRH,16,10,6,0,0,+0.003,"2,166/308.5","2,206/314.4",20
Royal Challengers Bangalore RCB,16,9,7,0,0,+0.457,"2,571/301","2,451/303.1",18
Kings XI Punjab KXIP,16,8,8,0,0,+0.226,"2,428/305.2","2,417/312.5",16
Kolkata Knight Riders KKR,16,6,10,0,0,-0.095,"2,290/313.4","2,316/313.1",12
Pune Warriors India PWI,16,4,12,0,0,-1.006,"2,262/318.4","2,519/310.5",8
Delhi Capitals DC,16,3,13,0,0,-0.848,"2,234/314.5","2,436/306.4",6
