Team,Pld,Won,Lost,Tied,N/R,Net RR,For,Against,Pts
Delhi Capitals DC,16,11,5,0,0,+0.617,"2,365/283.5","2,361/306",22
Kolkata Knight Riders KKR,16,10,5,0,1,+0.561,"2,150/285.1","2,032/291.1",21
Mumbai Indians MI,16,10,6,0,0,-0.100,"2,313/312.3","2,343/312.2",20
Chennai Super Kings CSK,16,8,7,0,1,+0.100,"2,232/293.3","2,144/285.4",17
Royal Challengers Bangalore RCB,16,8,7,0,1,-0.022,"2,472/296.2","2,505/299.3",17
Kings XI Punjab KXIP,16,8,8,0,0,-0.216,"2,390/313.3","2,455/313.1",16
Rajasthan Royals RR,16,7,9,0,0,+0.201,"2,516/316","2,402/309.3",14
Deccan Chargers DEC,16,4,11,0,1,-0.509,"2,312/298.4","2,405/291.3",9
Pune Warriors India PWI,16,4,12,0,0,-0.551,"2,321/319.2","2,424/310",8
