Team,Pld,Won,Lost,Tied,N/R,Net RR,For,Against,Pts
Mumbai Indians MI,14,10,4,0,0,+0.784,"2,407/272.1","2,242/278.1",20
Rising Pune Supergiant RPS,14,9,5,0,0,+0.176,"2,180/271","2,165/275.1",18
Sunrisers Hyderabad SRH,14,8,5,0,1,+0.599,"2,221/252","2,118/257.5",17
Kolkata Knight Riders KKR,14,8,6,0,0,+0.641,"2,329/260.5","2,300/277.3",16
Kings XI Punjab KXIP,14,7,7,0,0,-0.009,"2,207/261.2","2,229/263.4",14
Delhi Capitals DC,14,6,8,0,0,-0.512,"2,219/276.2","2,255/264",12
Gujarat Lions GL,14,4,10,0,0,-0.412,"2,406/269.5","2,472/265",8
Royal Challengers Bangalore RCB,14,3,10,0,1,-1.299,"1,845/260","2,033/242.1",7
