Team,Pld,Won,Lost,Tied,N/R,Net RR,For,Against,Pts
Chennai Super Kings CSK,14,9,5,0,0,+0.709,"2,262/273.3","2,073/274.1",18
Mumbai Indians MI,14,8,6,0,0,-0.043,"2,345/272.4","2,371/274.2",16
Royal Challengers Bangalore RCB,14,7,5,0,2,+1.037,"1,790/191.1","1,693/203.2",16
Rajasthan Royals RR,14,7,5,0,2,+0.062,"2,028/237.3","2,002/236.1",16
Kolkata Knight Riders KKR,14,7,6,0,1,+0.253,"2,044/236.1","2,022/240.4",15
Sunrisers Hyderabad SRH,14,7,7,0,0,-0.239,"2,096/255.2","2,126/251.4",14
Delhi Capitals DC,14,5,8,0,1,-0.049,"1,981/250.2","1,976/248.1",11
Kings XI Punjab KXIP,14,3,11,0,0,-1.436,"2,003/270","2,286/258.1",6
