Team,Pld,Won,Lost,Tied,N/R,Net RR,For,Against,Pts
Rajasthan Royals RR,14,11,3,0,0,+0.632,"2,245/261.1","2,153/270.2",22
Kings XI Punjab KXIP,14,10,4,0,0,+0.509,"2,352/259.5","2,271/265.5",20
Chennai Super Kings CSK,14,8,6,0,0,-0.192,"2,241/264.2","2,195/253.1",16
Delhi Capitals DC,14,7,6,0,1,+0.342,"2,001/233.2","2,031/246.4",15
Mumbai Indians MI,14,7,7,0,0,+0.570,"2,080/249.1","2,096/269.3",14
Kolkata Knight Riders KKR,14,6,7,0,1,-0.147,"1,845/242.4","1,718/221.4",13
Royal Challengers Bangalore RCB,14,4,10,0,0,-1.160,"1,983/272.4","2,205/261.3",8
Deccan Chargers DEC,14,2,12,0,0,-0.467,"2,229/270","2,307/264.3",4
