Team,Pld,Won,Lost,Tied,N/R,Net RR,For,Against,Pts
Sunrisers Hyderabad SRH,14,9,5,0,0,+0.284,"2,230/273.3","2,193/278.4",18
Chennai Super Kings CSK,14,9,5,0,0,+0.253,"2,488/275.3","2,433/277.1",18
Kolkata Knight Riders KKR,14,8,6,0,0,-0.070,"2,363/265.1","2,425/270",16
Rajasthan Royals RR,14,7,7,0,0,-0.250,"2,130/255.3","2,141/249.2",14
Mumbai Indians MI,14,6,8,0,0,+0.317,"2,380/278.4","2,282/277.3",12
Royal Challengers Bangalore RCB,14,6,8,0,0,+0.129,"2,322/264.4","2,383/275.4",12
Kings XI Punjab KXIP,14,6,8,0,0,-0.502,"2,210/268.4","2,259/258.5",12
Delhi Capitals DC,14,5,9,0,0,-0.222,"2,297/258","2,304/252.3",10
