Team,Pld,Won,Lost,Tied,N/R,Net RR,For,Against,Pts
Mumbai Indians MI,14,10,4,0,0,+1.084,"2,408/277","2,100/276",20
Deccan Chargers DEC,14,8,6,0,0,-0.297,"2,188/277.4","2,254/275.4",16
Chennai Super Kings CSK,14,7,7,0,0,+0.274,"2,285/271.1","2,257/276.5",14
Royal Challengers Bangalore RCB,14,7,7,0,0,+0.219,"2,166/260.4","2,245/277.3",14
Delhi Capitals DC,14,7,7,0,0,+0.021,"2,155/275.4","2,166/277.5",14
Kolkata Knight Riders KKR,14,7,7,0,0,-0.341,"2,144/273","2,192/267.3",14
Rajasthan Royals RR,14,6,8,0,0,-0.514,"2,179/270.4","2,224/259.4",12
Kings XI Punjab KXIP,14,4,10,0,0,-0.478,"2,278/276.2","2,365/271.1",8
