Team,Pld,Won,Lost,Tied,N/R,Net RR,For,Against,Pts
Delhi Capitals DC,14,10,4,0,0,+0.311,"1,978/255.2","1,953/262.4",20
Chennai Super Kings CSK,14,8,5,0,1,+0.951,"2,086/255.3","1,855/257.1",17
Royal Challengers Bangalore RCB,14,8,6,0,0,-0.191,"1,994/276","2,027/273.2",16
Deccan Chargers DEC,14,7,7,0,0,+0.203,"2,111/272.4","2,097/278.1",14
Kings XI Punjab KXIP,14,7,7,0,0,-0.483,"1,787/251.2","1,887/248.3",14
Rajasthan Royals RR,14,6,7,0,1,-0.352,"1,688/253.1","1,810/257.5",13
Mumbai Indians MI,14,5,8,0,1,+0.297,"1,897/256.2","1,802/253.4",11
Kolkata Knight Riders KKR,14,3,10,0,1,-0.789,"1,757/248.5","1,867/237.5",7
