Team,Pld,Won,Lost,Tied,N/R,Net RR,For,Against,Pts
Kings XI Punjab KXIP,14,11,3,0,0,+0.968,"2,427/268.3","2,229/276.1",22
Kolkata Knight Riders KKR,14,9,5,0,0,+0.418,"2,125/264","2,110/276.3",18
Chennai Super Kings CSK,14,9,5,0,0,+0.385,"2,272/272","2,178/273.2",18
Mumbai Indians MI,14,7,7,0,0,+0.095,"2,180/271.3","2,170/273.3",14
Rajasthan Royals RR,14,7,7,0,0,+0.060,"2,155/269.5","2,164/273",14
Sunrisers Hyderabad SRH,14,6,8,0,0,-0.399,"2,102/263.4","2,136/255.1",12
Royal Challengers Bangalore RCB,14,5,9,0,0,-0.428,"2,093/273.5","2,163/268",10
Delhi Capitals DC,14,2,12,0,0,-1.182,"1,980/263.2","2,184/251",4
